resource URL,resource id,resource post date,resource title,resource author name,text_name,image_name,image_url,folder name,full folder path,s3_bucket_txt_url,s3_bucket_img_url
https://franchisesuppliernetwork.com/purple-penguin-digital-client-testimonials/,post-3889,"March 19, 2024",Why Franchisors Love Working with Purple Penguin Digital,Jason Sunday,post-3889.txt,image_post-3889.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2023/11/Resource-Banner-31.png,article_post-3889,output_files\article_post-3889,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-3889/post-3889.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-3889/image_post-3889.jpg
https://franchisesuppliernetwork.com/the-good-feet-store-clayton-kendall/,post-4404,"March 28, 2024",The Good Feet Store Selects Clayton Kendall as New Marketing Supply Chain Partner,Dan Broudy,post-4404.txt,image_post-4404.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/03/Resource-Banner-13.png,article_post-4404,output_files\article_post-4404,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4404/post-4404.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4404/image_post-4404.jpg
https://franchisesuppliernetwork.com/franchise-lease-negotiations/,post-4361,"March 20, 2024",Mastering Franchise Lease Negotiations with Leasecake,Taj Adhav,post-4361.txt,image_post-4361.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/03/Resource-Banner-12.png,article_post-4361,output_files\article_post-4361,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4361/post-4361.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4361/image_post-4361.jpg
https://franchisesuppliernetwork.com/franchise-success/,post-4300,"February 21, 2024",Our 3-Step Process for Franchisor Success,Dana Farber,post-4300.txt,image_post-4300.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/02/Resource-Banner-14.png,article_post-4300,output_files\article_post-4300,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4300/post-4300.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4300/image_post-4300.jpg
https://franchisesuppliernetwork.com/pocketsuite-review/,post-4107,"February 22, 2024",Starting Your Business with PocketSuite,Revell Horsey,post-4107.txt,image_post-4107.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/02/Resource-Banner-16.png,article_post-4107,output_files\article_post-4107,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4107/post-4107.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4107/image_post-4107.jpg
https://franchisesuppliernetwork.com/local-franchise-digital-marketing/,post-4181,"February 23, 2024",Enhance Franchise Offering with Evocalize Local Digital Marketing,Justin Ulrich,post-4181.txt,image_post-4181.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/01/Resource-Banner-15.png,article_post-4181,output_files\article_post-4181,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4181/post-4181.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4181/image_post-4181.jpg
https://franchisesuppliernetwork.com/franchise-seo-2024/,post-4262,"February 26, 2024",Why Your Franchise Needs an Independent Website: Navigating SEO & Digital Marketing in 2024 with DevHub,Meghan McKenzie,post-4262.txt,image_post-4262.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/02/Resource-Banner-1-4.png,article_post-4262,output_files\article_post-4262,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4262/post-4262.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4262/image_post-4262.jpg
https://franchisesuppliernetwork.com/franchise-google-business/,post-3886,"February 28, 2024",Fuel Your Franchise Success: Elevate Your Brand with an Optimized Google Business Profile,Jason Sunday,post-3886.txt,image_post-3886.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2023/11/Resource-Banner-29.png,article_post-3886,output_files\article_post-3886,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-3886/post-3886.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-3886/image_post-3886.jpg
https://franchisesuppliernetwork.com/wendys-csquared-advisors/,post-3964,"February 27, 2024",Wendy’s Multi-Unit Franchisee Finds Success with C Squared Advisors,Carty Davis,post-3964.txt,image_post-3964.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2023/11/Resource-Banner-28.png,article_post-3964,output_files\article_post-3964,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-3964/post-3964.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-3964/image_post-3964.jpg
https://franchisesuppliernetwork.com/truterritory-morrow-hill/,post-4255,"March 1, 2024",Revolutionizing Franchise Expansion with TruTerritory by Vision Map,Jonathan Hill,post-4255.txt,image_post-4255.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/03/Resource-Banner.png,article_post-4255,output_files\article_post-4255,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4255/post-4255.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4255/image_post-4255.jpg
